TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US16019,"Bonneville County, Idaho",64,"64,618","+/-4,436"
R1901,05000US16027,"Canyon County, Idaho",64,"58,945","+/-3,409"
R1901,05000US16055,"Kootenai County, Idaho",64,"62,579","+/-4,031"
R1901,05000US16083,"Twin Falls County, Idaho",64,"56,276","+/-4,063"
R1901,05000US17001,"Adams County, Illinois",64,"55,727","+/-4,350"
R1901,05000US17019,"Champaign County, Illinois",64,"52,405","+/-2,785"
R1901,05000US17031,"Cook County, Illinois",64,"69,429","+/-1,100"
R1901,05000US17037,"DeKalb County, Illinois",64,"64,131","+/-4,173"
R1901,05000US17043,"DuPage County, Illinois",64,"96,403","+/-1,958"
R1901,05000US17089,"Kane County, Illinois",64,"84,368","+/-3,053"
R1901,05000US17091,"Kankakee County, Illinois",64,"60,923","+/-6,321"
R1901,05000US17093,"Kendall County, Illinois",64,"104,858","+/-8,699"
R1901,05000US17097,"Lake County, Illinois",64,"92,511","+/-3,088"
R1901,05000US17099,"LaSalle County, Illinois",64,"59,130","+/-3,378"
R1901,05000US17111,"McHenry County, Illinois",64,"88,879","+/-4,280"
R1901,05000US17113,"McLean County, Illinois",64,"68,784","+/-2,499"
R1901,05000US17115,"Macon County, Illinois",64,"50,839","+/-4,141"
R1901,05000US17119,"Madison County, Illinois",64,"67,440","+/-4,532"
R1901,05000US17143,"Peoria County, Illinois",64,"57,247","+/-3,399"
R1901,05000US17161,"Rock Island County, Illinois",64,"58,313","+/-5,841"
R1901,05000US17163,"St. Clair County, Illinois",64,"57,169","+/-5,624"
R1901,05000US17167,"Sangamon County, Illinois",64,"61,280","+/-2,795"
R1901,05000US17179,"Tazewell County, Illinois",64,"65,848","+/-3,235"
R1901,05000US17183,"Vermilion County, Illinois",64,"43,111","+/-5,240"
R1901,05000US17197,"Will County, Illinois",64,"90,134","+/-2,473"
R1901,05000US17199,"Williamson County, Illinois",64,"58,097","+/-4,102"
R1901,05000US17201,"Winnebago County, Illinois",64,"59,455","+/-4,124"
R1901,05000US18003,"Allen County, Indiana",64,"56,519","+/-2,070"
R1901,05000US18005,"Bartholomew County, Indiana",64,"72,555","+/-5,701"
R1901,05000US18011,"Boone County, Indiana",64,"70,813","+/-11,979"
R1901,05000US18019,"Clark County, Indiana",64,"59,064","+/-4,622"
R1901,05000US18035,"Delaware County, Indiana",64,"45,065","+/-4,090"
R1901,05000US18039,"Elkhart County, Indiana",64,"54,531","+/-2,747"
R1901,05000US18043,"Floyd County, Indiana",64,"63,219","+/-6,500"
R1901,05000US18053,"Grant County, Indiana",64,"47,206","+/-3,943"
R1901,05000US18057,"Hamilton County, Indiana",64,"105,062","+/-6,164"
R1901,05000US18059,"Hancock County, Indiana",64,"69,392","+/-12,923"
R1901,05000US18063,"Hendricks County, Indiana",64,"85,381","+/-4,807"
R1901,05000US18067,"Howard County, Indiana",64,"53,440","+/-2,880"
R1901,05000US18081,"Johnson County, Indiana",64,"73,651","+/-4,907"
R1901,05000US18085,"Kosciusko County, Indiana",64,"64,099","+/-4,660"
R1901,05000US18089,"Lake County, Indiana",64,"57,081","+/-2,341"
R1901,05000US18091,"LaPorte County, Indiana",64,"56,019","+/-4,414"
