GEOID,NAME,ESTIMATE
17191,"Wayne County, Illinois",49764
17193,"White County, Illinois",47773
17195,"Whiteside County, Illinois",53828
17197,"Will County, Illinois",83504
17199,"Williamson County, Illinois",49053
17201,"Winnebago County, Illinois",52743
17203,"Woodford County, Illinois",71867
18001,"Adams County, Indiana",51713
18003,"Allen County, Indiana",53402
18005,"Bartholomew County, Indiana",59045
18007,"Benton County, Indiana",46188
18009,"Blackford County, Indiana",42217
18011,"Boone County, Indiana",80567
18013,"Brown County, Indiana",61455
18015,"Carroll County, Indiana",56429
18017,"Cass County, Indiana",47545
18019,"Clark County, Indiana",54240
18021,"Clay County, Indiana",53021
18023,"Clinton County, Indiana",52488
18025,"Crawford County, Indiana",43875
18027,"Daviess County, Indiana",51032
18029,"Dearborn County, Indiana",65096
18031,"Decatur County, Indiana",54622
18033,"DeKalb County, Indiana",53808
18035,"Delaware County, Indiana",42705
18037,"Dubois County, Indiana",58994
18039,"Elkhart County, Indiana",55399
18041,"Fayette County, Indiana",43317
18043,"Floyd County, Indiana",61754
18045,"Fountain County, Indiana",49887
18047,"Franklin County, Indiana",58382
18049,"Fulton County, Indiana",49333
18051,"Gibson County, Indiana",52620
18053,"Grant County, Indiana",42593
18055,"Greene County, Indiana",49177
18057,"Hamilton County, Indiana",94644
18059,"Hancock County, Indiana",73142
18061,"Harrison County, Indiana",57132
18063,"Hendricks County, Indiana",78355
18065,"Henry County, Indiana",48235
18067,"Howard County, Indiana",50869
18069,"Huntington County, Indiana",52208
18071,"Jackson County, Indiana",49506
18073,"Jasper County, Indiana",59574
18075,"Jay County, Indiana",44772
18077,"Jefferson County, Indiana",51119
18079,"Jennings County, Indiana",49801
18081,"Johnson County, Indiana",68712
18083,"Knox County, Indiana",46457
18085,"Kosciusko County, Indiana",58402
18087,"LaGrange County, Indiana",60675
18089,"Lake County, Indiana",54249
18091,"LaPorte County, Indiana",51101
18093,"Lawrence County, Indiana",52092
18095,"Madison County, Indiana",47436
18097,"Marion County, Indiana",46692
18099,"Marshall County, Indiana",54229
18101,"Martin County, Indiana",51224
18103,"Miami County, Indiana",47460
